cluster,What is your age?,How many employees does your company or organization have?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you believe your productivity is ever affected by a mental health issue?,Do you have a family history of mental illness?,Does your employer provide mental health benefits as part of healthcare coverage?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,What is your gender?_Female,What is your gender?_Male,What is your gender?_Other,What country do you live in?_Australia,What country do you live in?_Canada,What country do you live in?_France,What country do you live in?_Germany,What country do you live in?_Ireland,What country do you live in?_Netherlands,What country do you live in?_Other,What country do you live in?_Sweden,What country do you live in?_Switzerland,What country do you live in?_United Kingdom,What country do you live in?_United States of America
0,34.7601246105919,3.5700934579439254,1.560747663551402,0.9595015576323987,0.6043613707165109,0.6542056074766355,0.2398753894080997,1.0,0.0,0.0,0.021806853582554516,0.06542056074766354,0.006230529595015576,0.018691588785046728,0.006230529595015576,0.01557632398753894,0.03426791277258567,0.006230529595015576,0.003115264797507788,0.08722741433021806,0.735202492211838
1,34.013824884792626,3.726574500768049,1.5453149001536097,0.9615975422427036,0.48847926267281105,0.642089093701997,0.2534562211981567,0.0,0.9247311827956989,0.07526881720430108,0.0,0.07987711213517665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9201228878648233
2,33.47461368653422,3.4150110375275937,1.7770419426048565,0.9028697571743929,0.34216335540838855,0.4083885209713024,0.16556291390728478,0.0,0.9492273730684326,0.05077262693156733,0.06181015452538632,0.006622516556291391,0.03090507726269316,0.11479028697571744,0.02869757174392936,0.09492273730684327,0.2693156732891832,0.037527593818984545,0.019867549668874173,0.3355408388520971,0.0
